idx,artist,genre,style
146,18,8,20
147,25,6,17
148,4,2,12
149,16,4,7
150,13,2,9
151,11,4,12
152,22,4,21
153,18,10,20
154,7,3,23
155,3,1,12
156,14,1,3
157,3,10,12
158,9,4,23
159,16,1,7
160,5,10,12
161,2,4,12
162,22,4,20
163,13,4,20
164,22,8,21
165,12,7,15
166,25,6,17
167,25,7,17
168,22,8,20
169,1,2,3
170,25,7,17
171,10,4,21
172,5,8,12
173,14,10,24
174,14,4,24
175,15,5,9
176,22,9,20
177,5,5,12
178,3,2,12
179,14,10,3
180,7,3,23
181,25,8,17
182,11,10,12
183,15,2,9
184,12,2,7
185,4,2,12
186,3,5,12
187,14,10,24
188,5,2,12
189,15,6,7
190,11,2,21
191,8,10,21
192,22,8,20
193,20,10,4
194,20,6,4
195,17,5,12
196,14,4,24
197,22,8,21
198,4,1,12
199,22,6,20
200,22,4,21
201,21,5,7
202,18,10,21
203,22,4,20
204,7,3,23
205,12,7,15
206,15,8,7
207,13,4,9
208,9,10,23
209,22,8,21
210,16,2,23
211,9,1,23
212,21,2,7
213,22,8,21
214,13,6,21
215,10,8,21
216,4,10,12
217,18,8,7
218,12,2,15
219,10,4,21
220,2,4,12
221,18,10,21
222,7,3,23
223,13,10,20
224,18,10,20
225,19,2,3
226,8,6,21
227,22,4,21
228,4,4,12
229,15,2,9
230,11,6,21
231,0,10,17
232,7,3,23
233,6,1,21
234,14,10,3
235,19,2,3
236,14,8,21
237,1,10,21
238,18,10,21
239,22,8,20
240,13,4,9
241,6,4,12
242,4,1,12
243,10,4,21
244,17,6,12
245,14,10,3
246,3,4,12
247,22,10,20
248,14,4,24
249,1,8,21
250,22,8,21
251,14,9,21
252,4,4,12
253,17,5,12
254,18,4,20
255,17,5,12
256,7,3,23
257,14,2,3
258,22,8,20
259,13,10,10
260,15,9,2
261,11,4,12
262,21,7,0
263,1,8,21
264,4,1,12
265,17,4,12
266,6,4,12
267,4,4,12
268,7,7,23
269,17,5,12
270,8,6,21
271,22,2,21
272,7,3,23
273,25,7,17
274,22,8,21
275,11,6,21
276,8,6,21
277,4,4,12
278,22,8,20
279,4,4,12
280,18,6,20
281,17,2,12
282,14,4,24
283,19,10,3
284,4,4,12
285,9,10,23
286,20,7,4
287,12,2,9
288,17,6,12
289,17,6,12
290,4,10,12
291,1,2,3
292,22,8,20
293,15,9,7
294,22,2,21
295,8,6,21
296,3,10,12
297,1,6,21
298,18,1,20
299,15,5,9
300,22,6,21
301,22,8,21
302,15,9,2
303,12,6,7
304,21,10,24
305,10,4,21
306,22,6,21
307,4,10,12
308,22,8,21
309,17,2,12
310,19,2,3
311,19,10,3
312,18,9,21
313,9,10,23
314,21,7,24
315,15,9,2
316,22,8,21
317,7,7,23
318,5,2,12
319,7,7,23
320,17,10,12
321,11,2,12
322,20,7,4
323,25,7,17
324,22,8,21
325,25,7,17
326,14,4,24
327,6,2,12
328,4,2,12
329,1,10,21
330,16,4,23
331,15,6,7
332,14,7,24
333,11,6,21
334,22,6,21
335,12,8,15
336,22,2,21
337,25,7,17
338,0,10,17
339,22,6,21
340,14,8,3
341,6,2,21
342,9,10,23
343,18,4,20
344,4,4,12
345,22,10,20
346,3,4,12
347,15,6,21
348,14,4,24
349,0,10,17
350,16,6,20
351,20,10,4
352,18,2,20
353,14,2,3
354,18,9,20
355,20,6,4
356,5,10,12
357,11,6,21
358,8,6,21
359,22,8,21
360,3,1,12
361,8,10,21
362,25,7,17
363,22,8,21
364,16,4,7
365,11,5,21
366,12,3,15
367,2,2,12
368,17,6,12
369,22,8,20
370,17,5,12
371,10,4,21
372,15,9,2
373,8,10,21
374,5,2,12
375,11,6,21
376,7,7,23
377,25,8,17
378,20,10,4
379,1,6,21
380,17,4,12
381,14,10,3
382,4,1,12
383,22,1,21
384,11,6,21
385,11,6,21
386,22,4,20
387,3,4,12
388,7,3,23
389,14,4,24
390,1,6,21
391,15,2,12
392,19,10,3
393,11,1,12
394,7,3,23
395,4,10,12
396,17,6,12
397,9,6,23
398,14,1,21
399,15,6,15
400,3,2,12
401,8,6,21
402,14,4,24
403,14,7,24
404,25,1,17
405,13,8,9
406,15,6,9
407,10,8,21
408,4,1,12
409,4,10,12
410,14,1,3
411,5,2,12
412,20,8,4
413,4,4,12
414,14,4,24
415,22,8,20
416,17,10,12
417,20,6,4
418,16,10,12
419,2,4,12
420,12,7,15
421,17,9,12
422,15,2,20
423,6,8,12
424,3,1,12
425,20,7,4
426,7,7,23
427,5,6,12
428,20,4,4
429,4,1,12
430,22,8,20
431,16,9,20
432,22,8,21
433,25,7,17
434,5,2,12
435,25,6,17
436,2,4,12
437,11,6,21
438,1,8,21
439,9,4,23
440,2,4,12
441,13,4,9
442,22,4,20
443,6,10,12
444,21,2,9
445,25,6,17
446,13,9,9
447,6,2,12
448,13,3,9
449,14,4,24
450,2,4,12
451,4,4,12
452,17,6,12
453,1,6,21
454,14,10,3
455,4,10,12
456,0,10,17
457,25,7,17
458,14,2,3
459,14,10,24
460,15,6,7
461,16,8,20
462,22,8,20
463,11,1,12
464,7,3,23
465,15,9,25
466,25,7,17
467,2,1,12
468,7,3,23
469,7,3,23
470,20,6,4
471,13,4,20
472,9,4,23
473,3,6,12
474,4,4,12
475,1,10,15
476,19,5,3
477,5,4,12
478,18,5,20
479,22,8,20
480,4,4,12
481,4,10,12
482,21,5,9
483,11,1,12
484,14,4,24
485,22,4,20
486,18,9,21
487,25,7,17
488,14,4,24
489,1,2,3
490,9,4,23
491,13,8,9
492,10,4,21
493,5,2,12
494,20,4,4
495,17,6,12
496,14,2,24
497,17,8,12
498,17,2,12
499,18,4,20
500,11,6,12
501,13,3,15
502,17,1,12
503,1,6,21
504,11,6,21
505,21,9,7
506,2,1,12
507,18,10,20
508,11,6,21
509,6,2,12
510,6,10,12
511,19,10,3
512,9,10,23
513,14,4,24
514,22,10,20
515,14,4,24
516,5,10,12
517,1,4,21
518,6,4,12
519,16,10,20
520,22,10,20
521,19,10,3
522,16,4,12
523,25,8,17
524,2,2,12
525,9,10,23
526,18,10,21
527,14,10,24
528,3,4,12
529,14,2,21
530,11,6,21
531,18,6,9
532,4,4,12
533,14,7,24
534,11,6,21
535,4,4,12
536,18,9,7
537,17,9,12
538,3,1,12
539,21,9,20
540,22,10,20
541,22,10,20
542,15,9,7
543,22,9,20
544,10,8,21
545,2,4,12
546,14,2,24
547,9,10,23
548,5,6,12
549,10,4,21
550,22,8,21
551,10,8,21
552,5,2,12
553,3,4,12
554,22,4,20
555,2,1,12
556,1,2,15
557,2,4,12
558,9,10,23
559,2,4,18
560,22,9,21
561,14,10,3
562,25,8,17
563,1,8,21
564,0,10,17
565,21,6,21
566,25,7,17
567,18,9,7
568,13,10,9
569,11,6,21
570,17,2,12
571,13,4,24
572,14,10,3
573,10,8,21
574,7,7,23
575,13,4,24
576,9,10,23
577,17,9,12
578,6,4,12
579,8,6,21
580,22,8,21
581,14,4,3
582,7,3,23
583,16,9,20
584,3,4,12
585,9,4,23
586,14,4,24
587,14,4,24
588,3,2,12
589,2,4,12
590,13,9,9
591,6,10,12
592,4,10,12
593,6,10,12
594,4,4,12
595,3,2,12
596,18,9,20
597,25,7,17
598,20,6,4
599,18,9,20
600,22,9,20
601,17,10,12
602,13,10,21
603,13,10,21
604,22,8,21
605,15,9,25
606,14,4,24
607,2,6,12
608,12,2,15
609,5,6,12
610,22,1,21
611,2,4,12
612,12,8,15
613,4,4,12
614,17,6,12
615,22,6,21
616,22,6,20
617,22,1,20
618,18,6,9
619,25,5,17
620,9,4,23
621,21,2,9
622,6,4,12
623,14,4,24
624,5,5,12
625,19,10,3
626,8,6,21
627,22,8,21
628,20,2,4
629,14,2,24
630,0,10,17
631,22,10,20
632,21,10,12
633,13,8,9
634,4,10,12
635,4,1,12
636,18,6,7
637,14,7,24
638,14,4,24
639,14,10,24
640,8,7,21
641,25,8,17
642,9,10,23
643,4,4,12
644,4,4,12
645,20,7,4
646,14,7,24
647,15,2,2
648,25,7,17
649,3,2,12
650,3,2,12
651,22,8,20
652,22,8,21
653,7,3,23
654,14,10,24
655,8,6,21
656,2,4,12
657,20,7,4
658,20,8,4
659,25,7,17
660,25,4,17
661,2,4,12
662,17,4,12
663,12,7,15
664,11,4,12
665,18,4,21
666,10,4,21
667,14,4,24
668,2,1,12
669,25,6,17
670,14,1,3
671,25,8,17
672,4,10,12
673,6,10,12
674,10,4,21
675,13,3,9
676,10,1,21
677,22,8,20
678,22,2,21
679,14,3,3
680,22,8,21
681,15,2,9
682,8,6,21
683,14,10,3
684,14,2,24
685,11,10,12
686,4,4,12
687,25,8,17
688,18,4,21
689,2,4,12
690,17,2,12
691,25,7,17
692,2,4,12
693,13,6,9
694,4,1,12
695,1,8,21
696,21,8,21
697,12,4,7
698,17,6,12
699,7,7,23
700,14,10,24
701,4,4,12
702,4,4,12
703,22,4,20
704,16,4,20
705,2,1,12
706,2,1,12
707,12,2,15
708,14,4,24
709,14,1,24
710,18,9,20
711,19,5,3
712,2,4,12
713,9,10,23
714,16,4,20
715,14,10,21
716,15,10,9
717,22,8,21
718,19,10,3
719,3,4,12
720,4,4,12
721,15,6,9
722,11,6,21
723,7,3,23
724,20,6,4
725,1,10,21
726,25,7,17
727,22,8,21
728,10,4,21
729,10,4,21
730,8,1,21
731,25,7,17
732,18,6,21
733,20,6,4
734,22,8,21
735,17,10,12
736,17,8,12
737,12,2,9
738,17,6,12
739,11,2,12
740,18,10,21
741,4,1,12
742,2,4,12
743,12,3,15
744,6,2,12
745,8,6,21
746,14,1,24
747,18,8,20
748,18,4,21
749,7,7,23
750,11,8,21
751,19,2,3
752,18,4,20
753,8,10,21
754,16,4,7
755,9,10,23
756,18,4,20
757,1,8,21
758,18,10,21
759,2,1,18
760,7,3,23
761,19,2,3
762,12,10,15
763,25,8,17
764,3,4,12
765,5,10,12
766,18,10,21
767,22,2,21
768,15,2,12
769,20,6,4
770,22,4,20
771,8,6,21
772,22,8,20
773,4,4,12
774,2,4,12
775,25,2,17
776,12,2,9
777,2,6,12
778,14,7,24
779,13,2,9
780,22,2,21
781,25,6,17
782,17,7,12
783,17,10,12
784,21,6,21
785,5,2,12
786,4,1,12
787,16,6,23
788,6,1,12
789,3,1,12
790,1,10,21
791,21,6,9
792,3,9,12
793,20,6,4
794,17,10,12
795,18,4,20
796,13,2,24
797,17,6,12
798,11,2,12
799,20,7,4
800,21,6,9
801,1,8,21
802,5,4,12
803,17,8,12
804,20,6,4
805,4,4,12
806,14,4,24
807,19,6,3
808,1,6,21
809,17,4,12
810,18,9,7
811,17,8,12
812,5,2,12
813,21,7,24
814,6,2,21
815,2,4,12
816,11,6,21
817,17,6,12
818,18,4,21
819,17,4,12
820,18,6,21
821,13,4,21
822,17,8,12
823,8,6,21
824,18,1,9
825,4,4,12
826,15,9,7
827,1,2,21
828,12,7,15
829,14,4,24
830,17,5,12
831,15,9,7
832,1,10,21
833,14,4,3
834,17,4,12
835,3,2,12
836,7,7,23
837,22,4,20
838,15,10,7
839,22,10,20
840,4,4,12
841,17,2,12
842,17,10,12
843,15,10,7
844,9,10,23
845,5,6,12
846,14,4,24
847,21,6,9
848,14,4,24
849,4,4,12
850,14,10,24
851,17,5,12
852,25,6,17
853,18,4,21
854,14,1,3
855,19,6,3
856,18,4,21
857,22,8,21
858,2,1,12
859,10,4,21
860,18,2,21
861,18,10,21
862,12,2,15
863,20,2,4
864,3,1,12
865,13,10,24
866,7,7,23
867,15,2,2
868,14,10,3
869,7,3,23
870,1,3,21
871,19,6,3
872,4,10,12
873,5,5,12
874,2,1,12
875,8,6,21
876,14,6,24
877,20,6,4
878,7,7,23
879,6,4,12
880,1,6,3
881,13,10,9
882,17,5,12
883,14,10,3
884,5,2,12
885,15,2,24
886,14,4,24
887,9,4,23
888,2,4,12
889,22,4,21
890,4,4,12
891,12,3,15
892,2,4,12
893,22,4,21
894,15,2,20
895,13,6,21
896,22,8,21
897,22,4,20
898,11,6,21
899,17,10,12
900,21,9,7
901,20,6,4
902,14,4,24
903,22,2,21
904,4,4,12
905,14,4,24
906,20,7,4
907,4,4,12
908,14,4,24
909,7,3,23
910,5,10,12
911,7,3,23
912,16,4,20
913,13,8,9
914,0,10,17
915,22,8,21
916,5,5,12
917,15,6,21
918,14,4,3
919,14,7,24
920,14,10,3
921,4,4,12
922,22,2,21
923,18,1,20
924,15,10,20
925,14,3,3
926,11,6,21
927,20,8,4
928,3,2,12
929,17,10,12
930,18,9,20
931,1,10,21
932,2,8,21
933,7,7,23
934,25,7,17
935,8,6,21
936,13,2,24
937,22,8,21
938,9,4,23
939,19,2,3
940,4,4,12
941,6,2,12
942,4,6,12
943,4,4,12
944,8,10,21
945,22,8,20
946,11,6,21
947,15,6,7
948,14,8,24
949,12,9,15
950,19,10,3
951,7,3,23
952,17,6,12
953,22,6,21
954,13,8,9
955,5,2,12
956,14,4,24
957,22,4,20
958,1,6,21
959,4,2,12
960,15,2,7
961,11,6,21
962,5,2,12
963,4,1,12
964,22,2,20
965,22,8,20
966,9,10,23
967,19,10,3
968,13,4,9
969,18,1,21
970,4,10,12
971,14,8,3
972,14,10,3
973,19,10,3
974,4,4,12
975,18,4,21
976,20,7,4
977,22,2,21
978,16,2,20
979,14,4,24
980,19,6,3
981,5,2,12
982,14,2,3
983,18,4,21
984,8,8,21
985,25,8,17
986,17,5,12
987,8,6,21
988,12,3,15
989,18,8,20
990,4,2,12
991,3,9,12
992,4,4,12
993,21,4,12
994,11,8,21
995,20,7,4
996,22,6,21
997,22,2,21
998,4,4,12
999,1,1,21
1000,17,10,12
1001,11,6,21
1002,19,10,3
1003,20,7,4
1004,17,6,12
1005,22,7,20
1006,10,4,21
1007,16,6,20
1008,4,6,21
1009,4,9,12
1010,14,1,21
1011,12,7,15
1012,8,6,21
1013,18,8,20
1014,6,4,12
1015,8,8,21
1016,22,8,20
1017,22,8,21
1018,8,6,21
1019,8,8,21
1020,12,2,15
1021,22,6,21
1022,22,2,20
1023,2,4,12
1024,22,2,21
1025,9,10,23
1026,2,2,12
1027,12,2,9
1028,14,4,24
1029,5,6,12
1030,22,4,21
1031,7,7,23
1032,7,3,23
1033,2,4,12
1034,11,6,21
1035,13,4,24
1036,7,7,23
1037,14,8,24
1038,8,6,21
1039,18,9,21
1040,17,5,12
1041,22,2,21
1042,15,2,15
1043,20,7,4
1044,6,4,12
1045,14,4,24
1046,4,4,12
1047,18,6,20
1048,12,7,15
1049,4,4,12
1050,3,4,12
1051,2,4,12
1052,11,6,21
1053,1,8,21
1054,21,6,21
1055,14,4,21
1056,8,8,21
1057,1,10,21
1058,14,4,24
1059,22,4,20
1060,18,6,9
1061,2,1,12
1062,2,1,12
1063,14,10,3
1064,10,4,21
1065,14,4,3
1066,22,2,20
1067,22,4,20
1068,14,4,24
1069,22,4,20
1070,1,10,3
1071,18,4,20
1072,25,1,17
1073,7,3,23
1074,12,10,7
1075,2,2,12
1076,14,4,24
1077,21,2,21
1078,8,10,21
1079,14,10,24
1080,12,2,9
1081,14,10,3
1082,5,6,12
1083,1,3,21
1084,17,10,12
1085,20,2,4
1086,16,1,12
1087,15,6,15
1088,2,4,18
1089,1,10,3
1090,6,10,12
1091,15,2,7
1092,25,2,17
1093,1,6,21
1094,22,8,20
1095,14,4,24
1096,7,3,23
1097,18,4,21
1098,22,9,21
1099,18,8,7
1100,16,4,20
1101,14,10,3
1102,22,4,20
1103,4,1,12
1104,14,4,24
1105,7,3,23
1106,15,6,9
1107,22,4,20
1108,17,4,12
1109,1,6,21
1110,22,4,20
1111,8,6,21
1112,4,1,12
1113,14,8,24
1114,4,4,12
1115,3,1,12
1116,4,4,12
1117,7,3,23
1118,7,3,23
1119,21,6,9
1120,25,6,17
1121,9,10,23
1122,22,8,20
1123,1,2,3
1124,17,6,12
1125,8,6,21
1126,14,10,3
1127,11,6,12
1128,15,6,7
1129,17,4,12
1130,14,4,21
1131,4,1,12
1132,19,10,3
1133,22,9,20
1134,18,10,20
1135,11,6,21
1136,6,2,12
1137,7,3,23
1138,14,4,24
1139,17,6,12
1140,11,4,12
1141,20,8,4
1142,19,10,3
1143,6,10,12
1144,14,1,3
1145,14,10,3
1146,19,2,3
1147,8,8,21
1148,21,2,18
1149,17,8,12
1150,1,2,3
1151,5,6,12
1152,22,1,20
1153,21,6,21
1154,25,6,17
1155,13,10,9
1156,17,4,12
1157,21,4,20
1158,22,10,20
1159,19,6,3
1160,6,10,12
1161,15,6,20
1162,17,4,12
1163,5,10,12
1164,17,6,12
1165,25,7,17
1166,4,4,12
1167,10,4,21
1168,14,4,24
1169,10,1,21
1170,0,10,17
1171,17,5,12
1172,1,10,21
1173,18,4,9
1174,4,1,12
1175,25,7,17
1176,17,9,12
1177,11,6,21
1178,9,10,23
1179,9,10,23
1180,18,4,20
1181,20,2,4
1182,2,1,12
1183,25,7,17
1184,2,1,12
1185,25,7,17
1186,14,10,3
1187,19,2,3
1188,7,3,23
1189,9,10,23
1190,15,2,24
1191,4,10,12
1192,18,6,20
1193,17,4,12
1194,2,4,12
1195,22,4,20
1196,25,7,17
1197,20,7,4
1198,18,4,20
1199,8,7,21
1200,22,4,20
1201,5,2,12
1202,4,2,12
1203,22,10,20
1204,22,6,21
1205,6,4,12
1206,17,2,12
1207,10,8,21
1208,15,10,7
1209,19,6,3
1210,6,2,12
1211,13,3,9
1212,21,2,7
1213,14,10,3
1214,2,1,12
1215,22,9,20
1216,20,6,4
1217,17,10,12
1218,17,4,12
1219,25,8,17
1220,20,6,4
1221,3,1,12
1222,14,10,24
1223,9,10,23
1224,2,1,12
1225,4,4,12
1226,17,6,12
1227,8,7,21
1228,16,2,20
1229,25,7,17
1230,11,6,21
1231,21,4,20
1232,14,4,24
1233,17,1,12
1234,1,2,21
1235,12,8,15
1236,4,1,12
1237,11,6,21
1238,4,6,12
1239,4,10,12
1240,8,6,21
1241,18,10,21
1242,15,8,24
1243,6,4,12
1244,5,6,12
1245,2,4,12
1246,3,4,12
1247,8,6,21
1248,25,8,17
1249,25,2,17
1250,9,10,23
1251,14,4,24
1252,1,6,21
1253,17,9,12
1254,11,10,12
1255,8,4,21
1256,14,10,24
1257,22,6,21
1258,3,2,12
1259,12,10,15
1260,19,5,3
1261,19,10,3
1262,2,1,12
1263,13,4,20
1264,12,7,15
1265,14,4,24
1266,7,7,23
1267,8,2,21
1268,6,4,12
1269,7,3,23
1270,18,8,20
1271,4,1,12
1272,17,5,12
1273,5,2,12
1274,4,4,12
1275,7,3,23
1276,20,7,4
1277,1,6,21
1278,14,4,24
1279,20,6,4
1280,3,10,12
1281,14,10,21
1282,17,6,12
1283,8,10,21
1284,15,2,20
1285,11,1,12
1286,22,4,21
1287,6,1,12
1288,20,8,4
1289,6,2,12
1290,22,8,21
1291,18,4,21
1292,19,10,3
1293,8,6,21
1294,20,1,4
1295,11,4,12
1296,5,2,12
1297,17,2,12
1298,2,4,12
1299,20,7,4
1300,25,6,17
1301,14,4,24
1302,14,10,3
1303,14,10,24
1304,16,4,12
1305,14,8,3
1306,0,10,17
1307,16,4,20
1308,21,6,9
1309,20,7,4
1310,25,7,17
1311,14,4,24
1312,25,7,17
1313,15,5,15
1314,15,2,7
1315,18,6,9
1316,22,1,20
1317,12,7,15
1318,21,7,24
1319,11,6,21
1320,12,3,15
1321,14,4,24
1322,1,8,21
1323,2,10,12
1324,11,6,21
1325,12,10,15
1326,12,2,15
1327,25,8,17
1328,16,6,23
1329,8,6,21
1330,13,6,9
1331,11,8,21
1332,8,6,21
1333,4,4,12
1334,13,2,9
1335,16,10,20
1336,22,2,21
1337,22,2,21
1338,7,3,23
1339,22,8,20
1340,6,10,12
1341,14,7,24
1342,14,4,24
1343,2,4,12
1344,25,6,17
1345,15,1,9
1346,12,7,15
1347,5,2,12
1348,1,2,21
1349,21,2,9
1350,22,8,20
1351,10,4,21
1352,17,4,12
1353,17,2,12
1354,22,4,20
1355,8,7,21
1356,16,6,20
1357,2,1,12
1358,14,4,24
1359,6,2,12
1360,2,1,21
1361,22,8,21
1362,4,4,12
1363,13,10,9
1364,20,10,4
1365,14,8,3
1366,8,6,21
1367,4,4,12
1368,7,3,23
1369,14,4,24
1370,12,2,15
1371,10,4,21
1372,13,1,9
1373,17,6,12
1374,10,4,21
1375,5,6,12
1376,22,4,21
1377,16,4,20
1378,19,10,3
1379,18,6,10
1380,18,10,7
1381,14,2,3
1382,4,4,12
1383,25,7,17
1384,12,3,15
1385,3,4,12
1386,15,2,20
1387,14,10,3
1388,22,9,20
1389,13,1,24
1390,22,9,21
1391,13,2,9
1392,15,10,7
1393,12,10,15
1394,11,2,21
1395,4,4,12
1396,14,4,24
1397,22,8,21
1398,17,8,12
1399,11,6,21
1400,15,10,9
1401,14,4,3
1402,21,6,21
1403,19,3,3
1404,7,3,23
1405,4,10,12
1406,21,6,20
1407,16,4,20
1408,16,4,20
1409,8,7,21
1410,1,2,3
1411,12,7,15
1412,17,10,12
1413,13,10,9
1414,14,4,24
1415,15,2,7
1416,5,2,12
1417,12,2,15
1418,25,7,17
1419,16,4,7
1420,7,3,23
1421,5,10,12
1422,8,6,21
1423,9,10,23
1424,2,2,18
1425,11,4,12
1426,15,6,25
1427,5,2,12
1428,1,6,3
1429,9,4,23
1430,12,2,15
1431,20,10,4
1432,9,10,23
1433,15,5,20
1434,7,3,23
1435,15,10,7
1436,16,9,20
1437,16,9,20
1438,2,4,12
1439,16,2,20
1440,25,7,17
1441,17,6,12
1442,14,2,24
1443,11,1,21
1444,19,10,3
1445,1,6,21
1446,13,8,10
1447,11,6,21
1448,19,10,3
1449,2,6,12
1450,18,8,20
1451,18,4,21
1452,22,8,21
1453,7,3,23
1454,18,4,20
1455,12,3,15
1456,5,2,12
1457,22,8,21
1458,4,10,12
1459,16,4,7
1460,22,8,21
1461,25,8,17
1462,17,5,12
1463,11,4,21
1464,12,3,15
1465,10,4,21
1466,13,3,9
1467,22,4,20
1468,15,6,20
1469,4,4,12
1470,3,5,12
1471,18,4,20
1472,17,4,12
1473,6,8,21
1474,2,4,21
1475,17,4,12
1476,5,5,12
1477,11,8,21
1478,22,10,20
1479,18,4,20
1480,15,9,7
1481,18,4,20
1482,22,8,20
1483,17,5,12
1484,20,10,4
1485,15,5,7
1486,11,6,21
1487,14,3,3
1488,14,4,24
1489,17,6,12
1490,16,6,20
1491,4,4,12
1492,14,10,24
1493,18,4,20
1494,10,4,21
1495,1,2,3
1496,19,2,3
1497,4,4,12
1498,21,2,0
1499,14,10,3
1500,2,4,12
1501,20,2,4
1502,16,6,20
1503,14,10,3
1504,11,6,21
1505,2,4,12
1506,3,4,12
1507,2,4,12
1508,15,5,15
1509,5,2,12
1510,22,8,21
1511,17,2,12
1512,3,10,12
1513,1,2,3
1514,2,4,12
1515,18,8,9
1516,12,2,7
1517,18,2,21
1518,17,2,12
1519,19,2,3
1520,17,4,12
1521,5,2,12
1522,7,7,23
1523,19,10,3
1524,18,10,20
1525,22,8,20
1526,3,1,12
1527,5,6,12
1528,2,2,12
1529,5,4,12
1530,22,4,21
1531,4,4,12
1532,13,4,24
1533,1,6,21
1534,15,9,24
1535,2,4,12
1536,1,6,21
1537,22,4,20
1538,7,3,23
1539,9,4,23
1540,6,2,12
1541,15,8,20
1542,5,4,12
1543,25,7,17
1544,1,6,3
1545,3,4,12
1546,25,7,17
1547,14,10,3
1548,5,6,12
1549,17,4,12
1550,14,4,24
1551,4,4,12
1552,15,5,9
1553,8,2,21
1554,14,4,24
1555,6,10,12
1556,25,6,17
1557,6,10,12
1558,20,2,4
1559,2,2,12
1560,1,10,21
1561,16,4,12
1562,1,10,15
1563,6,2,12
1564,22,4,20
1565,1,10,21
1566,7,3,23
1567,15,6,3
1568,17,6,12
1569,18,4,21
1570,18,10,20
1571,4,4,12
1572,1,10,21
1573,14,4,24
1574,3,2,12
1575,14,4,24
1576,14,4,24
1577,20,8,4
1578,22,4,21
1579,20,6,4
1580,22,8,21
1581,15,5,20
1582,14,10,24
1583,11,4,12
1584,17,4,12
1585,10,4,21
1586,10,4,21
1587,17,6,12
1588,2,1,12
1589,10,4,21
1590,14,10,24
1591,19,10,3
1592,4,4,12
1593,13,10,9
1594,19,10,3
1595,4,1,12
1596,14,1,3
1597,12,7,15
1598,14,8,3
1599,17,5,12
1600,5,2,12
1601,20,8,4
1602,9,10,23
1603,17,9,12
1604,9,10,23
1605,22,10,21
1606,12,2,15
1607,22,4,21
1608,19,10,3
1609,7,3,23
1610,1,2,21
1611,22,6,21
1612,18,8,20
1613,19,6,3
1614,20,8,4
1615,14,4,24
1616,19,2,3
1617,12,3,15
1618,12,7,15
1619,1,6,3
1620,7,3,23
1621,22,6,20
1622,4,10,12
1623,9,4,23
1624,19,10,3
1625,22,8,21
1626,14,4,24
1627,1,8,21
1628,18,1,21
1629,11,1,12
1630,16,6,20
1631,22,4,21
1632,22,9,20
1633,14,10,3
1634,13,4,21
1635,14,7,24
1636,2,1,12
1637,17,6,12
1638,22,1,20
1639,4,4,12
1640,15,6,9
1641,19,2,3
1642,11,4,12
1643,19,10,3
1644,22,4,20
1645,4,4,12
1646,17,5,12
1647,4,1,12
1648,3,4,12
1649,5,6,12
1650,6,4,12
1651,4,10,12
1652,22,10,20
1653,5,2,12
1654,22,8,20
1655,19,10,3
1656,8,2,21
1657,11,2,21
1658,18,9,20
1659,15,9,25
1660,14,2,21
1661,22,8,20
1662,18,1,7
1663,18,4,20
