source_style,target_style,similarity,source_idx,target_idx,source_artist,target_artist,source_genre,target_genre,source_duplicate_group,target_duplicate_group
Northern_Renaissance,High_Renaissance,0.8082980513572693,323,56401,albrecht-durer,titian,religious_painting,religious_painting,2209,4
Northern_Renaissance,High_Renaissance,0.8071420192718506,29110,56401,Unknown Artist,titian,religious_painting,religious_painting,5090,4
High_Renaissance,Baroque,0.833306610584259,46517,37422,titian,Unknown Artist,religious_painting,genre_painting,7093,5
Northern_Renaissance,Baroque,0.8056977391242981,30167,37422,Unknown Artist,Unknown Artist,genre_painting,genre_painting,1727,5
Northern_Renaissance,Baroque,0.803977906703949,34684,37422,hieronymus-bosch,Unknown Artist,religious_painting,genre_painting,754,5
Early_Renaissance,Baroque,0.7869447469711304,34453,37422,Unknown Artist,Unknown Artist,religious_painting,genre_painting,4483,5
Mannerism_Late_Renaissance,Baroque,0.7828633785247803,55339,37422,Unknown Artist,Unknown Artist,genre_painting,genre_painting,213,5
Baroque,Rococo,0.8441266417503357,51822,47245,Unknown Artist,Unknown Artist,genre_painting,genre_painting,1354,6
Baroque,Rococo,0.8361355662345886,24416,47245,Unknown Artist,Unknown Artist,genre_painting,genre_painting,4038,6
Baroque,Rococo,0.8306851387023926,53691,47245,Unknown Artist,Unknown Artist,genre_painting,genre_painting,1783,6
Baroque,Rococo,0.8245528340339661,20631,47245,Unknown Artist,Unknown Artist,genre_painting,genre_painting,2949,6
Baroque,Rococo,0.8241275548934937,17601,47245,rembrandt,Unknown Artist,religious_painting,genre_painting,6993,6
Early_Renaissance,High_Renaissance,0.9131039977073669,61990,20894,Unknown Artist,raphael,sketch_and_study,sketch_and_study,11,7
Early_Renaissance,High_Renaissance,0.9124571084976196,70726,20894,Unknown Artist,raphael,Unknown Genre,sketch_and_study,1697,7
Early_Renaissance,High_Renaissance,0.8903132677078247,71857,20894,Unknown Artist,raphael,Unknown Genre,sketch_and_study,4259,7
Northern_Renaissance,High_Renaissance,0.8795576691627502,8202,20894,albrecht-durer,raphael,sketch_and_study,sketch_and_study,4375,7
Northern_Renaissance,High_Renaissance,0.86855548620224,3401,20894,Unknown Artist,raphael,Unknown Genre,sketch_and_study,3723,7
High_Renaissance,Mannerism_Late_Renaissance,0.8491804599761963,42440,44263,pietro-perugino,Unknown Artist,religious_painting,religious_painting,6798,8
High_Renaissance,Mannerism_Late_Renaissance,0.8430105447769165,45542,44263,raphael,Unknown Artist,religious_painting,religious_painting,5073,8
Early_Renaissance,Mannerism_Late_Renaissance,0.8380471467971802,29359,44263,fra-angelico,Unknown Artist,religious_painting,religious_painting,2211,8
Early_Renaissance,Mannerism_Late_Renaissance,0.836844265460968,23140,44263,Unknown Artist,Unknown Artist,religious_painting,religious_painting,4190,8
Early_Renaissance,Mannerism_Late_Renaissance,0.8319832682609558,39442,44263,Unknown Artist,Unknown Artist,religious_painting,religious_painting,3259,8
Northern_Renaissance,Baroque,0.8200487494468689,30167,21552,Unknown Artist,Unknown Artist,genre_painting,genre_painting,1727,9
Northern_Renaissance,Baroque,0.8146793246269226,21368,21552,Unknown Artist,Unknown Artist,landscape,genre_painting,2443,9
Northern_Renaissance,Baroque,0.8146750926971436,68269,21552,Unknown Artist,Unknown Artist,Unknown Genre,genre_painting,6896,9
Northern_Renaissance,Baroque,0.8072096109390259,23960,21552,Unknown Artist,Unknown Artist,genre_painting,genre_painting,6888,9
Northern_Renaissance,Baroque,0.8040946125984192,34684,21552,hieronymus-bosch,Unknown Artist,religious_painting,genre_painting,754,9
Early_Renaissance,High_Renaissance,0.903457760810852,34989,49846,Unknown Artist,raphael,religious_painting,religious_painting,1455,13
Early_Renaissance,High_Renaissance,0.8936787843704224,29359,49846,fra-angelico,raphael,religious_painting,religious_painting,2211,13
Early_Renaissance,High_Renaissance,0.8890944123268127,53073,49846,Unknown Artist,raphael,religious_painting,religious_painting,6105,13
Early_Renaissance,High_Renaissance,0.8821684718132019,56018,49846,fra-angelico,raphael,religious_painting,religious_painting,4189,13
Early_Renaissance,High_Renaissance,0.8804746866226196,56901,49846,Unknown Artist,raphael,religious_painting,religious_painting,3225,13
High_Renaissance,Mannerism_Late_Renaissance,0.8581973910331726,68561,40469,Unknown Artist,tintoretto,Unknown Genre,religious_painting,23,14
High_Renaissance,Mannerism_Late_Renaissance,0.8579186201095581,74349,40469,Unknown Artist,tintoretto,Unknown Genre,religious_painting,3372,14
Early_Renaissance,Mannerism_Late_Renaissance,0.8576543927192688,25789,40469,Unknown Artist,tintoretto,religious_painting,religious_painting,3975,14
Early_Renaissance,Mannerism_Late_Renaissance,0.8537212014198303,34184,40469,Unknown Artist,tintoretto,genre_painting,religious_painting,4801,14
Northern_Renaissance,Mannerism_Late_Renaissance,0.8532787561416626,1310,40469,albrecht-durer,tintoretto,religious_painting,religious_painting,6333,14
Baroque,Rococo,0.8788667321205139,26732,26405,Unknown Artist,Unknown Artist,cityscape,cityscape,505,16
Baroque,Rococo,0.872368574142456,78706,26405,Unknown Artist,Unknown Artist,Unknown Genre,cityscape,4160,16
Baroque,Rococo,0.8605661988258362,67933,26405,Unknown Artist,Unknown Artist,Unknown Genre,cityscape,1457,16
Baroque,Rococo,0.8602465391159058,36697,26405,Unknown Artist,Unknown Artist,genre_painting,cityscape,6458,16
Baroque,Rococo,0.8498562574386597,78678,26405,Unknown Artist,Unknown Artist,Unknown Genre,cityscape,4438,16
High_Renaissance,Baroque,0.9273122549057007,31767,24638,raphael,Unknown Artist,religious_painting,religious_painting,7072,17
High_Renaissance,Baroque,0.9176218509674072,22248,24638,raphael,Unknown Artist,religious_painting,religious_painting,439,17
Mannerism_Late_Renaissance,Baroque,0.9130647778511047,49582,24638,tintoretto,Unknown Artist,religious_painting,religious_painting,115,17
Mannerism_Late_Renaissance,Baroque,0.9097599387168884,55942,24638,paolo-veronese,Unknown Artist,religious_painting,religious_painting,6258,17
Mannerism_Late_Renaissance,Baroque,0.9080525040626526,38687,24638,tintoretto,Unknown Artist,religious_painting,religious_painting,2434,17
High_Renaissance,Baroque,0.8400605320930481,52759,51673,Unknown Artist,Unknown Artist,religious_painting,genre_painting,867,18
High_Renaissance,Baroque,0.8350058197975159,25449,51673,Unknown Artist,Unknown Artist,religious_painting,genre_painting,6364,18
Northern_Renaissance,Baroque,0.830909013748169,56778,51673,hans-holbein-the-younger,Unknown Artist,religious_painting,genre_painting,1297,18
Northern_Renaissance,Baroque,0.8250256180763245,8196,51673,albrecht-durer,Unknown Artist,religious_painting,genre_painting,5169,18
Early_Renaissance,Baroque,0.8232799768447876,37522,51673,Unknown Artist,Unknown Artist,religious_painting,genre_painting,6568,18
Early_Renaissance,High_Renaissance,0.867507815361023,43628,51445,Unknown Artist,raphael,religious_painting,religious_painting,6516,19
Early_Renaissance,High_Renaissance,0.8647167682647705,34666,51445,Unknown Artist,raphael,religious_painting,religious_painting,1638,19
Northern_Renaissance,High_Renaissance,0.8604750633239746,47661,51445,Unknown Artist,raphael,religious_painting,religious_painting,5331,19
Early_Renaissance,High_Renaissance,0.8572229146957397,56350,51445,fra-angelico,raphael,religious_painting,religious_painting,1803,19
Early_Renaissance,High_Renaissance,0.8539155125617981,20123,51445,fra-angelico,raphael,religious_painting,religious_painting,1084,19
Early_Renaissance,High_Renaissance,0.9025425314903259,68173,75777,Unknown Artist,Unknown Artist,Unknown Genre,Unknown Genre,4396,20
Northern_Renaissance,High_Renaissance,0.9021015167236328,81081,75777,Unknown Artist,Unknown Artist,Unknown Genre,Unknown Genre,5668,20
Early_Renaissance,High_Renaissance,0.9003015160560608,80532,75777,Unknown Artist,Unknown Artist,Unknown Genre,Unknown Genre,3313,20
Northern_Renaissance,High_Renaissance,0.8873143196105957,11600,75777,albrecht-durer,Unknown Artist,religious_painting,Unknown Genre,6535,20
Northern_Renaissance,High_Renaissance,0.8854563236236572,17989,75777,Unknown Artist,Unknown Artist,Unknown Genre,Unknown Genre,4333,20
Early_Renaissance,Mannerism_Late_Renaissance,0.8337612152099609,43952,56706,Unknown Artist,el-greco,religious_painting,religious_painting,995,21
Early_Renaissance,Mannerism_Late_Renaissance,0.8209682106971741,55790,56706,Unknown Artist,el-greco,religious_painting,religious_painting,5484,21
Early_Renaissance,Mannerism_Late_Renaissance,0.8125947713851929,34379,56706,Unknown Artist,el-greco,religious_painting,religious_painting,2223,21
High_Renaissance,Mannerism_Late_Renaissance,0.8116645216941833,77065,56706,Unknown Artist,el-greco,Unknown Genre,religious_painting,3948,21
High_Renaissance,Mannerism_Late_Renaissance,0.8086938858032227,19094,56706,Unknown Artist,el-greco,religious_painting,religious_painting,2025,21
Early_Renaissance,High_Renaissance,0.9086423516273499,21002,40812,leonardo-da-vinci,leonardo-da-vinci,portrait,portrait,6584,22
Northern_Renaissance,High_Renaissance,0.8864712119102478,726,40812,albrecht-durer,leonardo-da-vinci,religious_painting,portrait,6360,22
Early_Renaissance,High_Renaissance,0.8715267181396484,30562,40812,leonardo-da-vinci,leonardo-da-vinci,sketch_and_study,portrait,6983,22
Early_Renaissance,High_Renaissance,0.842285692691803,21753,40812,Unknown Artist,leonardo-da-vinci,sketch_and_study,portrait,3472,22
Northern_Renaissance,High_Renaissance,0.8409867286682129,6696,40812,albrecht-durer,leonardo-da-vinci,religious_painting,portrait,2277,22
Early_Renaissance,High_Renaissance,0.8833170533180237,44431,68561,Unknown Artist,Unknown Artist,religious_painting,Unknown Genre,1133,23
Northern_Renaissance,High_Renaissance,0.8727366328239441,56364,68561,hieronymus-bosch,Unknown Artist,religious_painting,Unknown Genre,4382,23
Early_Renaissance,High_Renaissance,0.8634410500526428,37604,68561,Unknown Artist,Unknown Artist,religious_painting,Unknown Genre,175,23
Northern_Renaissance,High_Renaissance,0.8630269169807434,28527,68561,hieronymus-bosch,Unknown Artist,religious_painting,Unknown Genre,6779,23
Early_Renaissance,High_Renaissance,0.8595449328422546,40794,68561,Unknown Artist,Unknown Artist,religious_painting,Unknown Genre,5347,23
Baroque,Rococo,0.8631480932235718,78700,59668,Unknown Artist,Unknown Artist,Unknown Genre,landscape,209,24
Baroque,Rococo,0.8610301613807678,59987,59668,Unknown Artist,Unknown Artist,landscape,landscape,1111,24
Baroque,Rococo,0.8594599962234497,78620,59668,Unknown Artist,Unknown Artist,Unknown Genre,landscape,1698,24
Baroque,Rococo,0.854289710521698,37959,59668,canaletto,Unknown Artist,cityscape,landscape,6613,24
Baroque,Rococo,0.846325695514679,76972,59668,Unknown Artist,Unknown Artist,Unknown Genre,landscape,6052,24
Early_Renaissance,High_Renaissance,0.8544750809669495,45961,22357,fra-angelico,Unknown Artist,religious_painting,religious_painting,1521,25
Early_Renaissance,High_Renaissance,0.849138617515564,36364,22357,Unknown Artist,Unknown Artist,religious_painting,religious_painting,6130,25
Early_Renaissance,High_Renaissance,0.8472680449485779,48457,22357,Unknown Artist,Unknown Artist,religious_painting,religious_painting,2774,25
Early_Renaissance,High_Renaissance,0.8471786975860596,56516,22357,Unknown Artist,Unknown Artist,religious_painting,religious_painting,3920,25
Northern_Renaissance,High_Renaissance,0.8456310033798218,47158,22357,Unknown Artist,Unknown Artist,religious_painting,religious_painting,6170,25
High_Renaissance,Baroque,0.8392874598503113,56806,33516,pietro-perugino,Unknown Artist,religious_painting,still_life,354,26
High_Renaissance,Baroque,0.8315969705581665,56602,33516,raphael,Unknown Artist,religious_painting,still_life,2206,26
Northern_Renaissance,Baroque,0.8269690275192261,45064,33516,Unknown Artist,Unknown Artist,genre_painting,still_life,3749,26
Early_Renaissance,Baroque,0.825795590877533,36632,33516,Unknown Artist,Unknown Artist,religious_painting,still_life,1809,26
Mannerism_Late_Renaissance,Baroque,0.8249403834342957,50319,33516,paolo-veronese,Unknown Artist,religious_painting,still_life,4204,26
Baroque,Rococo,0.8779123425483704,769,63248,rembrandt,Unknown Artist,portrait,portrait,2810,27
Baroque,Rococo,0.8580690622329712,23086,63248,Unknown Artist,Unknown Artist,portrait,portrait,4293,27
High_Renaissance,Rococo,0.8495901823043823,48496,63248,titian,Unknown Artist,portrait,portrait,3163,27
Baroque,Rococo,0.8476969599723816,21588,63248,peter-paul-rubens,Unknown Artist,portrait,portrait,845,27
Baroque,Rococo,0.8472154140472412,17743,63248,rembrandt,Unknown Artist,portrait,portrait,3672,27
High_Renaissance,Mannerism_Late_Renaissance,0.8493732810020447,63327,42905,raphael,Unknown Artist,portrait,portrait,6897,28
Northern_Renaissance,Mannerism_Late_Renaissance,0.8458663821220398,3783,42905,albrecht-durer,Unknown Artist,portrait,portrait,3550,28
Northern_Renaissance,Mannerism_Late_Renaissance,0.8420860171318054,65240,42905,Unknown Artist,Unknown Artist,portrait,portrait,5535,28
Northern_Renaissance,Mannerism_Late_Renaissance,0.8361181616783142,42819,42905,Unknown Artist,Unknown Artist,religious_painting,portrait,5596,28
Northern_Renaissance,Mannerism_Late_Renaissance,0.8239760994911194,51292,42905,Unknown Artist,Unknown Artist,portrait,portrait,348,28
High_Renaissance,Northern_Renaissance,0.8642646670341492,39859,18017,leonardo-da-vinci,albrecht-durer,sketch_and_study,genre_painting,2082,30
High_Renaissance,Northern_Renaissance,0.8530516028404236,69294,18017,Unknown Artist,albrecht-durer,Unknown Genre,genre_painting,1939,30
Early_Renaissance,Northern_Renaissance,0.8430337309837341,75590,18017,Unknown Artist,albrecht-durer,Unknown Genre,genre_painting,1993,30
Early_Renaissance,Northern_Renaissance,0.8348878622055054,23153,18017,Unknown Artist,albrecht-durer,sketch_and_study,genre_painting,2762,30
Early_Renaissance,Northern_Renaissance,0.8345102667808533,41501,18017,leonardo-da-vinci,albrecht-durer,sketch_and_study,genre_painting,516,30
Early_Renaissance,High_Renaissance,0.8647423982620239,25751,29414,Unknown Artist,Unknown Artist,religious_painting,religious_painting,5162,31
Early_Renaissance,High_Renaissance,0.8601288199424744,40052,29414,Unknown Artist,Unknown Artist,religious_painting,religious_painting,3698,31
Northern_Renaissance,High_Renaissance,0.8569592237472534,44218,29414,Unknown Artist,Unknown Artist,religious_painting,religious_painting,4796,31
Early_Renaissance,High_Renaissance,0.8566985726356506,50266,29414,Unknown Artist,Unknown Artist,religious_painting,religious_painting,678,31
Northern_Renaissance,High_Renaissance,0.8539205193519592,56556,29414,hieronymus-bosch,Unknown Artist,religious_painting,religious_painting,6922,31
Baroque,Rococo,0.8501390218734741,78706,58562,Unknown Artist,Unknown Artist,Unknown Genre,cityscape,4160,34
Northern_Renaissance,Rococo,0.8219605088233948,9407,58562,albrecht-durer,Unknown Artist,landscape,cityscape,512,34
Mannerism_Late_Renaissance,Rococo,0.8120498061180115,59772,58562,paolo-veronese,Unknown Artist,landscape,cityscape,5128,34
Baroque,Rococo,0.8056061267852783,67933,58562,Unknown Artist,Unknown Artist,Unknown Genre,cityscape,1457,34
Baroque,Rococo,0.7952876091003418,43810,58562,Unknown Artist,Unknown Artist,cityscape,cityscape,4566,34
Northern_Renaissance,High_Renaissance,0.8508399724960327,18147,73047,albrecht-durer,Unknown Artist,nude_painting,Unknown Genre,6153,35
Northern_Renaissance,High_Renaissance,0.8363919258117676,29361,73047,Unknown Artist,Unknown Artist,portrait,Unknown Genre,5933,35
Northern_Renaissance,High_Renaissance,0.8335060477256775,18029,73047,albrecht-durer,Unknown Artist,religious_painting,Unknown Genre,4702,35
Northern_Renaissance,High_Renaissance,0.8334566950798035,20954,73047,Unknown Artist,Unknown Artist,genre_painting,Unknown Genre,5421,35
Northern_Renaissance,High_Renaissance,0.8331473469734192,8805,73047,albrecht-durer,Unknown Artist,nude_painting,Unknown Genre,1879,35
Northern_Renaissance,Baroque,0.8533651232719421,13171,8522,albrecht-durer,rembrandt,religious_painting,religious_painting,6158,36
Northern_Renaissance,Baroque,0.8522999882698059,17996,8522,albrecht-durer,rembrandt,genre_painting,religious_painting,5173,36
Northern_Renaissance,Baroque,0.8509568572044373,3117,8522,albrecht-durer,rembrandt,religious_painting,religious_painting,583,36
Northern_Renaissance,Baroque,0.8477786183357239,1440,8522,albrecht-durer,rembrandt,religious_painting,religious_painting,4552,36
Northern_Renaissance,Baroque,0.8467115759849548,12172,8522,albrecht-durer,rembrandt,religious_painting,religious_painting,271,36
Northern_Renaissance,Baroque,0.802091658115387,9407,71224,albrecht-durer,Unknown Artist,landscape,Unknown Genre,512,37
Northern_Renaissance,Baroque,0.7937132120132446,13279,71224,albrecht-durer,Unknown Artist,cityscape,Unknown Genre,5689,37
Northern_Renaissance,Baroque,0.7862947583198547,81126,71224,Unknown Artist,Unknown Artist,Unknown Genre,Unknown Genre,910,37
Northern_Renaissance,Baroque,0.7635587453842163,12525,71224,albrecht-durer,Unknown Artist,landscape,Unknown Genre,5441,37
Northern_Renaissance,Baroque,0.7619590759277344,6564,71224,albrecht-durer,Unknown Artist,sketch_and_study,Unknown Genre,2650,37
Early_Renaissance,High_Renaissance,0.818130373954773,31136,37582,Unknown Artist,michelangelo,sketch_and_study,nude_painting,4292,38
Early_Renaissance,High_Renaissance,0.8148341178894043,56862,37582,Unknown Artist,michelangelo,religious_painting,nude_painting,12,38
Northern_Renaissance,High_Renaissance,0.8113751411437988,3119,37582,albrecht-durer,michelangelo,religious_painting,nude_painting,5974,38
Early_Renaissance,High_Renaissance,0.8086305260658264,50890,37582,Unknown Artist,michelangelo,religious_painting,nude_painting,1456,38
Northern_Renaissance,High_Renaissance,0.807578980922699,69797,37582,Unknown Artist,michelangelo,Unknown Genre,nude_painting,901,38
High_Renaissance,Northern_Renaissance,0.8938743472099304,71698,70518,Unknown Artist,Unknown Artist,Unknown Genre,Unknown Genre,3448,39
High_Renaissance,Northern_Renaissance,0.8861597180366516,76472,70518,Unknown Artist,Unknown Artist,Unknown Genre,Unknown Genre,1913,39
High_Renaissance,Northern_Renaissance,0.8857314586639404,68996,70518,Unknown Artist,Unknown Artist,Unknown Genre,Unknown Genre,4502,39
High_Renaissance,Northern_Renaissance,0.8738994002342224,79385,70518,Unknown Artist,Unknown Artist,Unknown Genre,Unknown Genre,5304,39
High_Renaissance,Northern_Renaissance,0.8708361983299255,72848,70518,Unknown Artist,Unknown Artist,Unknown Genre,Unknown Genre,476,39
Early_Renaissance,Mannerism_Late_Renaissance,0.8757537603378296,38091,65219,leonardo-da-vinci,Unknown Artist,religious_painting,portrait,3620,40
Early_Renaissance,Mannerism_Late_Renaissance,0.8718324303627014,19614,65219,pietro-perugino,Unknown Artist,religious_painting,portrait,4063,40
Early_Renaissance,Mannerism_Late_Renaissance,0.8707821369171143,29533,65219,Unknown Artist,Unknown Artist,religious_painting,portrait,3964,40
Early_Renaissance,Mannerism_Late_Renaissance,0.8693828582763672,23112,65219,pietro-perugino,Unknown Artist,religious_painting,portrait,1415,40
Early_Renaissance,Mannerism_Late_Renaissance,0.8602365851402283,49464,65219,Unknown Artist,Unknown Artist,religious_painting,portrait,924,40
Early_Renaissance,High_Renaissance,0.948014497756958,43726,36425,Unknown Artist,raphael,religious_painting,religious_painting,2554,41
Early_Renaissance,High_Renaissance,0.9479200839996338,69439,36425,Unknown Artist,raphael,Unknown Genre,religious_painting,1263,41
Early_Renaissance,High_Renaissance,0.9478424191474915,56355,36425,Unknown Artist,raphael,religious_painting,religious_painting,7129,41
Early_Renaissance,High_Renaissance,0.943989634513855,37605,36425,Unknown Artist,raphael,religious_painting,religious_painting,1263,41
Early_Renaissance,High_Renaissance,0.9439312815666199,55930,36425,Unknown Artist,raphael,religious_painting,religious_painting,4197,41
High_Renaissance,Mannerism_Late_Renaissance,0.8412754535675049,46281,55922,pietro-perugino,Unknown Artist,religious_painting,religious_painting,165,42
High_Renaissance,Mannerism_Late_Renaissance,0.8257935643196106,44859,55922,titian,Unknown Artist,portrait,religious_painting,2881,42
High_Renaissance,Mannerism_Late_Renaissance,0.8253723978996277,44161,55922,titian,Unknown Artist,religious_painting,religious_painting,6090,42
Early_Renaissance,Mannerism_Late_Renaissance,0.8246791362762451,57028,55922,Unknown Artist,Unknown Artist,religious_painting,religious_painting,2316,42
High_Renaissance,Mannerism_Late_Renaissance,0.8244107365608215,55639,55922,raphael,Unknown Artist,religious_painting,religious_painting,6592,42
High_Renaissance,Mannerism_Late_Renaissance,0.9195356369018555,40419,75017,michelangelo,Unknown Artist,religious_painting,Unknown Genre,6226,43
High_Renaissance,Mannerism_Late_Renaissance,0.9168423414230347,32165,75017,michelangelo,Unknown Artist,religious_painting,Unknown Genre,2307,43
High_Renaissance,Mannerism_Late_Renaissance,0.9128715991973877,23937,75017,michelangelo,Unknown Artist,religious_painting,Unknown Genre,1379,43
High_Renaissance,Mannerism_Late_Renaissance,0.906559944152832,75432,75017,Unknown Artist,Unknown Artist,Unknown Genre,Unknown Genre,6430,43
High_Renaissance,Mannerism_Late_Renaissance,0.9055596590042114,20905,75017,michelangelo,Unknown Artist,religious_painting,Unknown Genre,1217,43
Early_Renaissance,High_Renaissance,0.890618085861206,40864,35390,Unknown Artist,raphael,religious_painting,religious_painting,6603,44
Early_Renaissance,High_Renaissance,0.8899540901184082,55936,35390,Unknown Artist,raphael,religious_painting,religious_painting,2016,44
Northern_Renaissance,High_Renaissance,0.8854349255561829,6422,35390,albrecht-durer,raphael,religious_painting,religious_painting,2480,44
Early_Renaissance,High_Renaissance,0.8775079250335693,25716,35390,Unknown Artist,raphael,religious_painting,religious_painting,3573,44
Northern_Renaissance,High_Renaissance,0.8706320524215698,30414,35390,Unknown Artist,raphael,religious_painting,religious_painting,6614,44
High_Renaissance,Northern_Renaissance,0.8333308100700378,27760,18140,leonardo-da-vinci,Unknown Artist,sketch_and_study,Unknown Genre,4523,45
High_Renaissance,Northern_Renaissance,0.830720841884613,50949,18140,leonardo-da-vinci,Unknown Artist,sketch_and_study,Unknown Genre,2837,45
Early_Renaissance,Northern_Renaissance,0.7995657920837402,20308,18140,leonardo-da-vinci,Unknown Artist,sketch_and_study,Unknown Genre,6283,45
Early_Renaissance,Northern_Renaissance,0.7930808663368225,80535,18140,Unknown Artist,Unknown Artist,Unknown Genre,Unknown Genre,3722,45
High_Renaissance,Northern_Renaissance,0.7922216653823853,62162,18140,leonardo-da-vinci,Unknown Artist,sketch_and_study,Unknown Genre,6314,45
High_Renaissance,Mannerism_Late_Renaissance,0.8897733688354492,22541,55726,raphael,tintoretto,religious_painting,religious_painting,7031,46
High_Renaissance,Mannerism_Late_Renaissance,0.8810853958129883,39920,55726,raphael,tintoretto,religious_painting,religious_painting,1630,46
High_Renaissance,Mannerism_Late_Renaissance,0.876599907875061,56818,55726,Unknown Artist,tintoretto,religious_painting,religious_painting,874,46
High_Renaissance,Mannerism_Late_Renaissance,0.8728106617927551,33550,55726,pietro-perugino,tintoretto,religious_painting,religious_painting,5713,46
High_Renaissance,Mannerism_Late_Renaissance,0.8709992170333862,19178,55726,Unknown Artist,tintoretto,religious_painting,religious_painting,3875,46
Northern_Renaissance,High_Renaissance,0.8471982479095459,30772,49965,Unknown Artist,Unknown Artist,portrait,portrait,4108,47
Northern_Renaissance,High_Renaissance,0.8467698693275452,20288,49965,hans-holbein-the-younger,Unknown Artist,portrait,portrait,6173,47
Northern_Renaissance,High_Renaissance,0.8316141366958618,65333,49965,lucas-cranach-the-elder,Unknown Artist,portrait,portrait,4260,47
Northern_Renaissance,High_Renaissance,0.8308884501457214,37452,49965,Unknown Artist,Unknown Artist,religious_painting,portrait,1620,47
Early_Renaissance,High_Renaissance,0.8259118795394897,49243,49965,Unknown Artist,Unknown Artist,religious_painting,portrait,5980,47
Early_Renaissance,High_Renaissance,0.9033628106117249,22603,45028,Unknown Artist,Unknown Artist,religious_painting,religious_painting,658,48
Early_Renaissance,High_Renaissance,0.9014323949813843,19755,45028,Unknown Artist,Unknown Artist,religious_painting,religious_painting,5805,48
Early_Renaissance,High_Renaissance,0.9004138708114624,55655,45028,Unknown Artist,Unknown Artist,religious_painting,religious_painting,2239,48
Northern_Renaissance,High_Renaissance,0.8993128538131714,6422,45028,albrecht-durer,Unknown Artist,religious_painting,religious_painting,2480,48
Early_Renaissance,High_Renaissance,0.8991526365280151,48695,45028,Unknown Artist,Unknown Artist,religious_painting,religious_painting,4961,48
Northern_Renaissance,Mannerism_Late_Renaissance,0.8974580764770508,56458,23384,Unknown Artist,paolo-veronese,religious_painting,religious_painting,3597,49
High_Renaissance,Mannerism_Late_Renaissance,0.8935840129852295,19178,23384,Unknown Artist,paolo-veronese,religious_painting,religious_painting,3875,49
High_Renaissance,Mannerism_Late_Renaissance,0.8931149840354919,27547,23384,Unknown Artist,paolo-veronese,religious_painting,religious_painting,6404,49
High_Renaissance,Mannerism_Late_Renaissance,0.8883484601974487,32986,23384,Unknown Artist,paolo-veronese,religious_painting,religious_painting,2465,49
Early_Renaissance,Mannerism_Late_Renaissance,0.8800672292709351,51437,23384,Unknown Artist,paolo-veronese,religious_painting,religious_painting,1757,49
High_Renaissance,Baroque,0.8456637263298035,40689,657,leonardo-da-vinci,rembrandt,sketch_and_study,religious_painting,6964,50
Northern_Renaissance,Baroque,0.8425465226173401,12625,657,albrecht-durer,rembrandt,religious_painting,religious_painting,4859,50
Northern_Renaissance,Baroque,0.8320446014404297,12172,657,albrecht-durer,rembrandt,religious_painting,religious_painting,271,50
Early_Renaissance,Baroque,0.8288517594337463,56922,657,Unknown Artist,rembrandt,religious_painting,religious_painting,1381,50
Northern_Renaissance,Baroque,0.8276913166046143,33854,657,Unknown Artist,rembrandt,genre_painting,religious_painting,1898,50
