source_style,target_style,similarity,source_idx,target_idx,source_artist,target_artist
Northern_Renaissance,Mannerism_Late_Renaissance,0.8532787561416626,1310,40469,albrecht-durer,tintoretto
High_Renaissance,Mannerism_Late_Renaissance,0.8504837155342102,24137,40469,raphael,tintoretto
Northern_Renaissance,Mannerism_Late_Renaissance,0.8493958711624146,32732,40469,Unknown Artist,tintoretto
Northern_Renaissance,Mannerism_Late_Renaissance,0.8490440249443054,56815,40469,hieronymus-bosch,tintoretto
High_Renaissance,Baroque,0.9273122549057007,31767,24638,raphael,Unknown Artist
High_Renaissance,Baroque,0.9176218509674072,22248,24638,raphael,Unknown Artist
Mannerism_Late_Renaissance,Baroque,0.9130647778511047,49582,24638,tintoretto,Unknown Artist
Mannerism_Late_Renaissance,Baroque,0.9097599387168884,55942,24638,paolo-veronese,Unknown Artist
Mannerism_Late_Renaissance,Baroque,0.9080525040626526,38687,24638,tintoretto,Unknown Artist
Early_Renaissance,High_Renaissance,0.867507815361023,43628,51445,Unknown Artist,raphael
Early_Renaissance,High_Renaissance,0.8647167682647705,34666,51445,Unknown Artist,raphael
Northern_Renaissance,High_Renaissance,0.8604750633239746,47661,51445,Unknown Artist,raphael
Early_Renaissance,High_Renaissance,0.8572229146957397,56350,51445,fra-angelico,raphael
Early_Renaissance,High_Renaissance,0.8539155125617981,20123,51445,fra-angelico,raphael
Early_Renaissance,Mannerism_Late_Renaissance,0.8337612152099609,43952,56706,Unknown Artist,el-greco
Early_Renaissance,Mannerism_Late_Renaissance,0.8209682106971741,55790,56706,Unknown Artist,el-greco
Early_Renaissance,Mannerism_Late_Renaissance,0.8125947713851929,34379,56706,Unknown Artist,el-greco
High_Renaissance,Mannerism_Late_Renaissance,0.8086938858032227,19094,56706,Unknown Artist,el-greco
Early_Renaissance,Mannerism_Late_Renaissance,0.8086020350456238,30677,56706,Unknown Artist,el-greco
Early_Renaissance,High_Renaissance,0.8544750809669495,45961,22357,fra-angelico,Unknown Artist
Early_Renaissance,High_Renaissance,0.849138617515564,36364,22357,Unknown Artist,Unknown Artist
Early_Renaissance,High_Renaissance,0.8472680449485779,48457,22357,Unknown Artist,Unknown Artist
Early_Renaissance,High_Renaissance,0.8471786975860596,56516,22357,Unknown Artist,Unknown Artist
Northern_Renaissance,High_Renaissance,0.8456310033798218,47158,22357,Unknown Artist,Unknown Artist
Early_Renaissance,High_Renaissance,0.8647423982620239,25751,29414,Unknown Artist,Unknown Artist
Early_Renaissance,High_Renaissance,0.8601288199424744,40052,29414,Unknown Artist,Unknown Artist
Northern_Renaissance,High_Renaissance,0.8569592237472534,44218,29414,Unknown Artist,Unknown Artist
Early_Renaissance,High_Renaissance,0.8566985726356506,50266,29414,Unknown Artist,Unknown Artist
Northern_Renaissance,High_Renaissance,0.8539205193519592,56556,29414,hieronymus-bosch,Unknown Artist
Northern_Renaissance,Baroque,0.8533651232719421,13171,8522,albrecht-durer,rembrandt
Northern_Renaissance,Baroque,0.8509568572044373,3117,8522,albrecht-durer,rembrandt
Northern_Renaissance,Baroque,0.8477786183357239,1440,8522,albrecht-durer,rembrandt
Northern_Renaissance,Baroque,0.8467115759849548,12172,8522,albrecht-durer,rembrandt
Northern_Renaissance,Baroque,0.8428325653076172,47921,8522,Unknown Artist,rembrandt
Early_Renaissance,High_Renaissance,0.948014497756958,43726,36425,Unknown Artist,raphael
Early_Renaissance,High_Renaissance,0.9478424191474915,56355,36425,Unknown Artist,raphael
Early_Renaissance,High_Renaissance,0.943989634513855,37605,36425,Unknown Artist,raphael
Early_Renaissance,High_Renaissance,0.9439312815666199,55930,36425,Unknown Artist,raphael
Northern_Renaissance,High_Renaissance,0.9432592391967773,4321,36425,albrecht-durer,raphael
High_Renaissance,Mannerism_Late_Renaissance,0.8412754535675049,46281,55922,pietro-perugino,Unknown Artist
High_Renaissance,Mannerism_Late_Renaissance,0.8253723978996277,44161,55922,titian,Unknown Artist
Early_Renaissance,Mannerism_Late_Renaissance,0.8246791362762451,57028,55922,Unknown Artist,Unknown Artist
High_Renaissance,Mannerism_Late_Renaissance,0.8244107365608215,55639,55922,raphael,Unknown Artist
High_Renaissance,Mannerism_Late_Renaissance,0.8236060738563538,20255,55922,titian,Unknown Artist
Early_Renaissance,High_Renaissance,0.890618085861206,40864,35390,Unknown Artist,raphael
Early_Renaissance,High_Renaissance,0.8899540901184082,55936,35390,Unknown Artist,raphael
Northern_Renaissance,High_Renaissance,0.8854349255561829,6422,35390,albrecht-durer,raphael
Early_Renaissance,High_Renaissance,0.8775079250335693,25716,35390,Unknown Artist,raphael
Northern_Renaissance,High_Renaissance,0.8706320524215698,30414,35390,Unknown Artist,raphael
High_Renaissance,Mannerism_Late_Renaissance,0.8897733688354492,22541,55726,raphael,tintoretto
High_Renaissance,Mannerism_Late_Renaissance,0.8810853958129883,39920,55726,raphael,tintoretto
High_Renaissance,Mannerism_Late_Renaissance,0.876599907875061,56818,55726,Unknown Artist,tintoretto
High_Renaissance,Mannerism_Late_Renaissance,0.8728106617927551,33550,55726,pietro-perugino,tintoretto
High_Renaissance,Mannerism_Late_Renaissance,0.8709992170333862,19178,55726,Unknown Artist,tintoretto
Early_Renaissance,High_Renaissance,0.9033628106117249,22603,45028,Unknown Artist,Unknown Artist
Early_Renaissance,High_Renaissance,0.9014323949813843,19755,45028,Unknown Artist,Unknown Artist
Early_Renaissance,High_Renaissance,0.9004138708114624,55655,45028,Unknown Artist,Unknown Artist
Northern_Renaissance,High_Renaissance,0.8993128538131714,6422,45028,albrecht-durer,Unknown Artist
Early_Renaissance,High_Renaissance,0.8991526365280151,48695,45028,Unknown Artist,Unknown Artist
Northern_Renaissance,Mannerism_Late_Renaissance,0.8974580764770508,56458,23384,Unknown Artist,paolo-veronese
High_Renaissance,Mannerism_Late_Renaissance,0.8935840129852295,19178,23384,Unknown Artist,paolo-veronese
High_Renaissance,Mannerism_Late_Renaissance,0.8931149840354919,27547,23384,Unknown Artist,paolo-veronese
High_Renaissance,Mannerism_Late_Renaissance,0.8883484601974487,32986,23384,Unknown Artist,paolo-veronese
Early_Renaissance,Mannerism_Late_Renaissance,0.8800672292709351,51437,23384,Unknown Artist,paolo-veronese
Northern_Renaissance,Baroque,0.8425465226173401,12625,657,albrecht-durer,rembrandt
Northern_Renaissance,Baroque,0.8320446014404297,12172,657,albrecht-durer,rembrandt
Early_Renaissance,Baroque,0.8288517594337463,56922,657,Unknown Artist,rembrandt
Northern_Renaissance,Baroque,0.823525071144104,18164,657,albrecht-durer,rembrandt
Northern_Renaissance,Baroque,0.8194162249565125,5640,657,albrecht-durer,rembrandt
Early_Renaissance,Northern_Renaissance,0.8630667924880981,56569,56799,fra-angelico,Unknown Artist
Early_Renaissance,Northern_Renaissance,0.8480948805809021,56700,56799,fra-angelico,Unknown Artist
Early_Renaissance,Northern_Renaissance,0.8453747034072876,56305,56799,fra-angelico,Unknown Artist
Early_Renaissance,Northern_Renaissance,0.8377273678779602,57083,56799,Unknown Artist,Unknown Artist
Early_Renaissance,Northern_Renaissance,0.8302489519119263,39347,56799,Unknown Artist,Unknown Artist
High_Renaissance,Northern_Renaissance,0.8507745862007141,37361,43033,Unknown Artist,Unknown Artist
Early_Renaissance,Northern_Renaissance,0.835114598274231,55748,43033,Unknown Artist,Unknown Artist
Early_Renaissance,Northern_Renaissance,0.8307151198387146,48861,43033,fra-angelico,Unknown Artist
Early_Renaissance,Northern_Renaissance,0.8232508301734924,56379,43033,fra-angelico,Unknown Artist
Early_Renaissance,Northern_Renaissance,0.8186531066894531,26806,43033,fra-angelico,Unknown Artist
Mannerism_Late_Renaissance,Baroque,0.8793535828590393,37729,23143,el-greco,Unknown Artist
Mannerism_Late_Renaissance,Baroque,0.8773484826087952,55663,23143,el-greco,Unknown Artist
Early_Renaissance,Baroque,0.8664583563804626,56372,23143,pietro-perugino,Unknown Artist
Mannerism_Late_Renaissance,Baroque,0.8626000881195068,49096,23143,el-greco,Unknown Artist
High_Renaissance,Baroque,0.8604729771614075,55731,23143,titian,Unknown Artist
Early_Renaissance,High_Renaissance,0.8948079347610474,25709,56644,pietro-perugino,Unknown Artist
Early_Renaissance,High_Renaissance,0.8795135617256165,27082,56644,Unknown Artist,Unknown Artist
Early_Renaissance,High_Renaissance,0.8703458309173584,55920,56644,pietro-perugino,Unknown Artist
Early_Renaissance,High_Renaissance,0.8689959645271301,48338,56644,Unknown Artist,Unknown Artist
Early_Renaissance,High_Renaissance,0.8683398365974426,43021,56644,Unknown Artist,Unknown Artist
Early_Renaissance,High_Renaissance,0.8552446961402893,56326,46182,pietro-perugino,pietro-perugino
Northern_Renaissance,High_Renaissance,0.8520185947418213,23747,46182,hans-holbein-the-younger,pietro-perugino
Northern_Renaissance,High_Renaissance,0.8517696857452393,38912,46182,Unknown Artist,pietro-perugino
Early_Renaissance,High_Renaissance,0.84739750623703,49105,46182,fra-angelico,pietro-perugino
Early_Renaissance,High_Renaissance,0.8408587574958801,23042,46182,pietro-perugino,pietro-perugino
Northern_Renaissance,Mannerism_Late_Renaissance,0.8326815366744995,44553,56453,lucas-cranach-the-elder,el-greco
High_Renaissance,Mannerism_Late_Renaissance,0.8242759108543396,32488,56453,titian,el-greco
Northern_Renaissance,Mannerism_Late_Renaissance,0.8192435503005981,22975,56453,Unknown Artist,el-greco
High_Renaissance,Mannerism_Late_Renaissance,0.8191767334938049,31952,56453,Unknown Artist,el-greco
High_Renaissance,Mannerism_Late_Renaissance,0.8167679905891418,44205,56453,Unknown Artist,el-greco
Early_Renaissance,Northern_Renaissance,0.8892882466316223,56529,56031,Unknown Artist,hans-holbein-the-younger
Early_Renaissance,Northern_Renaissance,0.8856046199798584,46903,56031,Unknown Artist,hans-holbein-the-younger
High_Renaissance,Northern_Renaissance,0.8839112520217896,55982,56031,Unknown Artist,hans-holbein-the-younger
Early_Renaissance,Northern_Renaissance,0.8792195916175842,53102,56031,Unknown Artist,hans-holbein-the-younger
High_Renaissance,Northern_Renaissance,0.8719639778137207,55813,56031,Unknown Artist,hans-holbein-the-younger
Early_Renaissance,High_Renaissance,0.8306906223297119,26308,55984,Unknown Artist,michelangelo
Early_Renaissance,High_Renaissance,0.8213391900062561,40854,55984,Unknown Artist,michelangelo
Early_Renaissance,High_Renaissance,0.8193261027336121,46641,55984,Unknown Artist,michelangelo
Early_Renaissance,High_Renaissance,0.8161664009094238,56685,55984,fra-angelico,michelangelo
Early_Renaissance,High_Renaissance,0.8116089105606079,25782,55984,Unknown Artist,michelangelo
Early_Renaissance,High_Renaissance,0.9258420467376709,35073,56970,fra-angelico,Unknown Artist
Early_Renaissance,High_Renaissance,0.924686074256897,53035,56970,pietro-perugino,Unknown Artist
Northern_Renaissance,High_Renaissance,0.9198673367500305,20883,56970,Unknown Artist,Unknown Artist
Early_Renaissance,High_Renaissance,0.9197524785995483,51956,56970,Unknown Artist,Unknown Artist
Northern_Renaissance,High_Renaissance,0.916779637336731,34154,56970,Unknown Artist,Unknown Artist
High_Renaissance,Northern_Renaissance,0.8738875389099121,56035,56460,titian,Unknown Artist
Early_Renaissance,Northern_Renaissance,0.8568878173828125,31565,56460,Unknown Artist,Unknown Artist
Early_Renaissance,Northern_Renaissance,0.8510817885398865,41270,56460,Unknown Artist,Unknown Artist
Early_Renaissance,Northern_Renaissance,0.8431862592697144,56737,56460,Unknown Artist,Unknown Artist
Early_Renaissance,Northern_Renaissance,0.8398206233978271,48655,56460,Unknown Artist,Unknown Artist
Early_Renaissance,Northern_Renaissance,0.8302275538444519,56407,8111,Unknown Artist,albrecht-durer
Northern_Renaissance,Mannerism_Late_Renaissance,0.9023867845535278,34406,56983,Unknown Artist,titian
Early_Renaissance,Mannerism_Late_Renaissance,0.8939923048019409,28008,56983,Unknown Artist,titian
High_Renaissance,Mannerism_Late_Renaissance,0.8938698172569275,55808,56983,Unknown Artist,titian
High_Renaissance,Mannerism_Late_Renaissance,0.8931955099105835,52548,56983,Unknown Artist,titian
Northern_Renaissance,Mannerism_Late_Renaissance,0.8920337557792664,25485,56983,Unknown Artist,titian
Early_Renaissance,High_Renaissance,0.9225656986236572,56355,40473,Unknown Artist,pietro-perugino
Northern_Renaissance,High_Renaissance,0.918372631072998,4321,40473,albrecht-durer,pietro-perugino
Early_Renaissance,High_Renaissance,0.9179180860519409,55695,40473,Unknown Artist,pietro-perugino
Early_Renaissance,High_Renaissance,0.9160313010215759,37190,40473,Unknown Artist,pietro-perugino
Early_Renaissance,High_Renaissance,0.9147688150405884,25309,40473,Unknown Artist,pietro-perugino
Early_Renaissance,High_Renaissance,0.8989762663841248,19614,28884,pietro-perugino,pietro-perugino
Early_Renaissance,High_Renaissance,0.8927603363990784,56260,28884,Unknown Artist,pietro-perugino
Early_Renaissance,High_Renaissance,0.8922474384307861,30587,28884,Unknown Artist,pietro-perugino
Early_Renaissance,High_Renaissance,0.8914603590965271,32988,28884,Unknown Artist,pietro-perugino
Early_Renaissance,High_Renaissance,0.8908455967903137,47152,28884,Unknown Artist,pietro-perugino
Mannerism_Late_Renaissance,Rococo,0.8828486800193787,56565,43987,paolo-veronese,Unknown Artist
Mannerism_Late_Renaissance,Rococo,0.877790629863739,55843,43987,Unknown Artist,Unknown Artist
Early_Renaissance,Rococo,0.8727209568023682,35109,43987,fra-angelico,Unknown Artist
Mannerism_Late_Renaissance,Rococo,0.8720663189888,57044,43987,tintoretto,Unknown Artist
Baroque,Rococo,0.871492326259613,7408,43987,rembrandt,Unknown Artist
Early_Renaissance,Mannerism_Late_Renaissance,0.9206157922744751,20738,49582,Unknown Artist,tintoretto
Northern_Renaissance,Mannerism_Late_Renaissance,0.9152951836585999,34061,49582,Unknown Artist,tintoretto
High_Renaissance,Mannerism_Late_Renaissance,0.9118572473526001,19853,49582,pietro-perugino,tintoretto
High_Renaissance,Mannerism_Late_Renaissance,0.9092665314674377,31767,49582,raphael,tintoretto
High_Renaissance,Mannerism_Late_Renaissance,0.9050710797309875,22248,49582,raphael,tintoretto
Mannerism_Late_Renaissance,Baroque,0.856566846370697,47149,28150,Unknown Artist,bartolome-esteban-murillo
Mannerism_Late_Renaissance,Baroque,0.8559013605117798,47059,28150,Unknown Artist,bartolome-esteban-murillo
Mannerism_Late_Renaissance,Baroque,0.8503313064575195,32295,28150,Unknown Artist,bartolome-esteban-murillo
Northern_Renaissance,Baroque,0.8481393456459045,3203,28150,albrecht-durer,bartolome-esteban-murillo
Northern_Renaissance,Baroque,0.8392377495765686,17968,28150,albrecht-durer,bartolome-esteban-murillo
Early_Renaissance,Northern_Renaissance,0.8563920855522156,36978,46164,fra-angelico,Unknown Artist
Early_Renaissance,Northern_Renaissance,0.8415101170539856,57083,46164,Unknown Artist,Unknown Artist
Early_Renaissance,Northern_Renaissance,0.8410823941230774,56305,46164,fra-angelico,Unknown Artist
Early_Renaissance,Northern_Renaissance,0.8404477834701538,20241,46164,Unknown Artist,Unknown Artist
Early_Renaissance,Northern_Renaissance,0.8366773724555969,27058,46164,Unknown Artist,Unknown Artist
Early_Renaissance,Northern_Renaissance,0.8678781986236572,39075,51930,Unknown Artist,hieronymus-bosch
Early_Renaissance,Northern_Renaissance,0.8436862230300903,56115,51930,Unknown Artist,hieronymus-bosch
Early_Renaissance,Northern_Renaissance,0.8412227630615234,50267,51930,Unknown Artist,hieronymus-bosch
High_Renaissance,Northern_Renaissance,0.8396134972572327,56333,51930,pietro-perugino,hieronymus-bosch
Early_Renaissance,Northern_Renaissance,0.8333672881126404,57013,51930,Unknown Artist,hieronymus-bosch
Early_Renaissance,Northern_Renaissance,0.8804370760917664,26778,49917,Unknown Artist,hieronymus-bosch
Early_Renaissance,Northern_Renaissance,0.8793730139732361,32988,49917,Unknown Artist,hieronymus-bosch
Early_Renaissance,Northern_Renaissance,0.8731854557991028,31617,49917,Unknown Artist,hieronymus-bosch
Early_Renaissance,Northern_Renaissance,0.8668836355209351,29533,49917,Unknown Artist,hieronymus-bosch
Early_Renaissance,Northern_Renaissance,0.8645132184028625,56098,49917,Unknown Artist,hieronymus-bosch
Early_Renaissance,Northern_Renaissance,0.8458856344223022,25170,24590,Unknown Artist,lucas-cranach-the-elder
Early_Renaissance,Northern_Renaissance,0.8270706534385681,57083,24590,Unknown Artist,lucas-cranach-the-elder
Early_Renaissance,Northern_Renaissance,0.8267622590065002,56848,24590,Unknown Artist,lucas-cranach-the-elder
High_Renaissance,Northern_Renaissance,0.8261680006980896,32795,24590,Unknown Artist,lucas-cranach-the-elder
High_Renaissance,Northern_Renaissance,0.8221839666366577,49517,24590,Unknown Artist,lucas-cranach-the-elder
Early_Renaissance,High_Renaissance,0.9219033718109131,44276,51928,fra-angelico,Unknown Artist
Early_Renaissance,High_Renaissance,0.9056380987167358,23615,51928,fra-angelico,Unknown Artist
Early_Renaissance,High_Renaissance,0.9036763906478882,55980,51928,fra-angelico,Unknown Artist
Early_Renaissance,High_Renaissance,0.9023780226707458,48861,51928,fra-angelico,Unknown Artist
Early_Renaissance,High_Renaissance,0.8998194932937622,55852,51928,fra-angelico,Unknown Artist
Northern_Renaissance,High_Renaissance,0.8576824069023132,56332,25932,Unknown Artist,Unknown Artist
Northern_Renaissance,High_Renaissance,0.8518826365470886,6950,25932,albrecht-durer,Unknown Artist
Early_Renaissance,High_Renaissance,0.8511924743652344,56382,25932,Unknown Artist,Unknown Artist
Early_Renaissance,High_Renaissance,0.8485015630722046,38887,25932,Unknown Artist,Unknown Artist
Early_Renaissance,High_Renaissance,0.8416922688484192,44742,25932,Unknown Artist,Unknown Artist
Northern_Renaissance,Mannerism_Late_Renaissance,0.8592098951339722,24838,56819,Unknown Artist,paolo-veronese
Northern_Renaissance,Mannerism_Late_Renaissance,0.8518622517585754,56380,56819,Unknown Artist,paolo-veronese
High_Renaissance,Mannerism_Late_Renaissance,0.8443785905838013,30163,56819,Unknown Artist,paolo-veronese
High_Renaissance,Mannerism_Late_Renaissance,0.8436993956565857,27923,56819,Unknown Artist,paolo-veronese
Northern_Renaissance,Mannerism_Late_Renaissance,0.8389919400215149,31955,56819,Unknown Artist,paolo-veronese
Early_Renaissance,Northern_Renaissance,0.8628578782081604,36175,18117,Unknown Artist,albrecht-durer
Early_Renaissance,Northern_Renaissance,0.8487918972969055,22676,18117,Unknown Artist,albrecht-durer
Early_Renaissance,Northern_Renaissance,0.8473584651947021,32725,18117,Unknown Artist,albrecht-durer
Early_Renaissance,Northern_Renaissance,0.8467860817909241,29617,18117,Unknown Artist,albrecht-durer
Early_Renaissance,Northern_Renaissance,0.8445936441421509,56857,18117,fra-angelico,albrecht-durer
Early_Renaissance,High_Renaissance,0.9058975577354431,46903,56897,Unknown Artist,Unknown Artist
Northern_Renaissance,High_Renaissance,0.8837864995002747,30414,56897,Unknown Artist,Unknown Artist
Northern_Renaissance,High_Renaissance,0.8828718066215515,31347,56897,hans-holbein-the-younger,Unknown Artist
Early_Renaissance,High_Renaissance,0.8769820332527161,56916,56897,Unknown Artist,Unknown Artist
Early_Renaissance,High_Renaissance,0.8731856942176819,30376,56897,pietro-perugino,Unknown Artist
High_Renaissance,Northern_Renaissance,0.8683452606201172,27917,29811,Unknown Artist,Unknown Artist
Early_Renaissance,Northern_Renaissance,0.8669857382774353,47922,29811,Unknown Artist,Unknown Artist
Early_Renaissance,Northern_Renaissance,0.8625940084457397,27828,29811,Unknown Artist,Unknown Artist
High_Renaissance,Northern_Renaissance,0.8611636161804199,34473,29811,Unknown Artist,Unknown Artist
High_Renaissance,Northern_Renaissance,0.8569594025611877,25430,29811,Unknown Artist,Unknown Artist
High_Renaissance,Mannerism_Late_Renaissance,0.874298632144928,19178,35510,Unknown Artist,paolo-veronese
High_Renaissance,Mannerism_Late_Renaissance,0.8728232979774475,24418,35510,titian,paolo-veronese
Northern_Renaissance,Mannerism_Late_Renaissance,0.8680940270423889,4644,35510,albrecht-durer,paolo-veronese
High_Renaissance,Mannerism_Late_Renaissance,0.8667847514152527,32812,35510,Unknown Artist,paolo-veronese
Mannerism_Late_Renaissance,Baroque,0.8740997314453125,46959,27809,el-greco,anthony-van-dyck
Northern_Renaissance,Baroque,0.8706074953079224,34061,27809,Unknown Artist,anthony-van-dyck
Mannerism_Late_Renaissance,Baroque,0.8642728328704834,23252,27809,paolo-veronese,anthony-van-dyck
Mannerism_Late_Renaissance,Baroque,0.860691249370575,32485,27809,Unknown Artist,anthony-van-dyck
Mannerism_Late_Renaissance,Baroque,0.8574116826057434,30641,27809,el-greco,anthony-van-dyck
Early_Renaissance,High_Renaissance,0.9056393504142761,30376,19342,pietro-perugino,pietro-perugino
Early_Renaissance,High_Renaissance,0.8944756388664246,55936,19342,Unknown Artist,pietro-perugino
Early_Renaissance,High_Renaissance,0.8909157514572144,40864,19342,Unknown Artist,pietro-perugino
Early_Renaissance,High_Renaissance,0.8880964517593384,55869,19342,Unknown Artist,pietro-perugino
Early_Renaissance,High_Renaissance,0.8874374032020569,32916,19342,Unknown Artist,pietro-perugino
Northern_Renaissance,High_Renaissance,0.8962528705596924,56024,49517,Unknown Artist,Unknown Artist
Early_Renaissance,High_Renaissance,0.8930506706237793,48158,49517,Unknown Artist,Unknown Artist
Early_Renaissance,High_Renaissance,0.8862441778182983,37604,49517,Unknown Artist,Unknown Artist
Early_Renaissance,High_Renaissance,0.8851976990699768,43094,49517,Unknown Artist,Unknown Artist
Early_Renaissance,High_Renaissance,0.8832200169563293,56339,49517,Unknown Artist,Unknown Artist
Northern_Renaissance,High_Renaissance,0.8127521276473999,40320,46281,lucas-cranach-the-elder,pietro-perugino
Early_Renaissance,High_Renaissance,0.8104342222213745,52800,46281,Unknown Artist,pietro-perugino
Early_Renaissance,High_Renaissance,0.8061144948005676,37938,46281,Unknown Artist,pietro-perugino
Early_Renaissance,High_Renaissance,0.8056349754333496,43150,46281,Unknown Artist,pietro-perugino
Early_Renaissance,High_Renaissance,0.8045313954353333,30677,46281,Unknown Artist,pietro-perugino
High_Renaissance,Mannerism_Late_Renaissance,0.9000933766365051,21160,46933,Unknown Artist,paolo-veronese
High_Renaissance,Mannerism_Late_Renaissance,0.8926231861114502,25069,46933,Unknown Artist,paolo-veronese
Northern_Renaissance,Mannerism_Late_Renaissance,0.889575183391571,28527,46933,hieronymus-bosch,paolo-veronese
High_Renaissance,Mannerism_Late_Renaissance,0.8891270756721497,52404,46933,titian,paolo-veronese
Northern_Renaissance,Mannerism_Late_Renaissance,0.8864421844482422,49358,46933,Unknown Artist,paolo-veronese
Early_Renaissance,High_Renaissance,0.8927246332168579,57028,49571,Unknown Artist,titian
Early_Renaissance,High_Renaissance,0.8900600671768188,47861,49571,Unknown Artist,titian
Early_Renaissance,High_Renaissance,0.8852051496505737,40412,49571,Unknown Artist,titian
Early_Renaissance,High_Renaissance,0.8837441802024841,57011,49571,Unknown Artist,titian
Early_Renaissance,High_Renaissance,0.8792641162872314,41308,49571,Unknown Artist,titian
High_Renaissance,Mannerism_Late_Renaissance,0.9206861853599548,28669,31431,raphael,Unknown Artist
High_Renaissance,Mannerism_Late_Renaissance,0.9201762080192566,38482,31431,Unknown Artist,Unknown Artist
High_Renaissance,Mannerism_Late_Renaissance,0.919301450252533,49492,31431,Unknown Artist,Unknown Artist
High_Renaissance,Mannerism_Late_Renaissance,0.918149471282959,20758,31431,raphael,Unknown Artist
High_Renaissance,Mannerism_Late_Renaissance,0.9175320863723755,24954,31431,raphael,Unknown Artist
Early_Renaissance,High_Renaissance,0.9362868070602417,43726,33149,Unknown Artist,raphael
Early_Renaissance,High_Renaissance,0.9322527050971985,56355,33149,Unknown Artist,raphael
Early_Renaissance,High_Renaissance,0.9312002658843994,28215,33149,Unknown Artist,raphael
Early_Renaissance,High_Renaissance,0.9291861653327942,20082,33149,Unknown Artist,raphael
Early_Renaissance,High_Renaissance,0.9284656643867493,37190,33149,Unknown Artist,raphael
Northern_Renaissance,Mannerism_Late_Renaissance,0.924362063407898,44944,24904,Unknown Artist,paolo-veronese
High_Renaissance,Mannerism_Late_Renaissance,0.9173697829246521,57155,24904,Unknown Artist,paolo-veronese
High_Renaissance,Mannerism_Late_Renaissance,0.9072219133377075,55743,24904,raphael,paolo-veronese
High_Renaissance,Mannerism_Late_Renaissance,0.9068889021873474,56378,24904,Unknown Artist,paolo-veronese
High_Renaissance,Mannerism_Late_Renaissance,0.9056978225708008,20337,24904,titian,paolo-veronese
Early_Renaissance,Northern_Renaissance,0.922365665435791,49002,27103,Unknown Artist,Unknown Artist
High_Renaissance,Northern_Renaissance,0.918991208076477,56747,27103,pietro-perugino,Unknown Artist
High_Renaissance,Northern_Renaissance,0.9184958934783936,41447,27103,Unknown Artist,Unknown Artist
High_Renaissance,Northern_Renaissance,0.9155961871147156,56590,27103,Unknown Artist,Unknown Artist
Early_Renaissance,Northern_Renaissance,0.9155719876289368,34366,27103,Unknown Artist,Unknown Artist
Northern_Renaissance,High_Renaissance,0.9020674824714661,11580,47498,albrecht-durer,raphael
